Barcode,Quantity,Notes,Location,Date
2110A1475380A00020000080000000C1,1,,Unknown,2021-06-10T13:37:45-07:00
2110A1475380A00020000200000000C7,1,,Unknown,2021-06-10T13:38:11-07:00
21122A29E540A80020000620000000AF,1,,Unknown,2021-06-10T13:38:17-07:00
21122A29E540A80020000760000000AA,1,,Unknown,2021-06-10T13:38:19-07:00
21122A29E540A800200005C0000000A6,1,,Unknown,2021-06-10T13:38:21-07:00
21122A29E540A800200005E0000000A4,1,,Unknown,2021-06-10T13:38:22-07:00
21122A29E540A80020000780000000A8,1,,Unknown,2021-06-10T13:38:23-07:00
21109D865880A800200010C0000000A1,1,,Unknown,2021-06-10T13:38:25-07:00
21108E28C480A80020000C800000009B,1,,Unknown,2021-06-10T13:38:26-07:00
21108E28C480A80020000C400000009F,1,,Unknown,2021-06-10T13:38:28-07:00
21108E28C480A80020000CE000000095,1,,Unknown,2021-06-10T13:38:31-07:00
111095C389409800200003C000000000,1,,Unknown,2021-06-10T13:38:40-07:00
21109D876080A800200005E0000000A1,1,,Unknown,2021-06-10T13:38:43-07:00
21109D876080A800200007A0000000A3,1,,Unknown,2021-06-10T13:38:44-07:00
21109D876080A80020000720000000AB,1,,Unknown,2021-06-10T13:38:45-07:00
21109D643780A80020000240000000AF,1,,Unknown,2021-06-10T13:38:47-07:00
21109D643780A800200001E0000000A6,1,,Unknown,2021-06-10T13:38:48-07:00
21109D643780A800200001C0000000A8,1,,Unknown,2021-06-10T13:38:49-07:00
21109D6B1540A800200008A0000000A4,1,,Unknown,2021-06-10T13:38:51-07:00
